event_type,ts,src_ip,src_port,dest_ip,dest_port,vlan,proto,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,alert.metadata.confidence,alert.metadata.reviewed_at,alert.metadata.mitre_tactic_id,alert.metadata.mitre_tactic_name,alert.metadata.mitre_technique_id,alert.metadata.mitre_technique_name,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth,community_id
alert,2021-09-24T17:03:21.707993Z,10.9.23.102,63718,23.21.173.155,443,,TCP,tls,3,ET INFO External IP Address Lookup Domain (ipify .org) in TLS SNI,Misc activity,allowed,2047703,1,1,"[""Informational""]",,"[""Client_and_Server""]","[""Perimeter""]","[""Any""]","[""2023_08_22""]","[""Low""]","[""2023_08_22""]",,"[""External_IP_Lookup""]","[""High""]","[""2023_08_22""]",,,,,6.90E+14,36811,0,,,,,,,,,1:u2jag0dCqdoDCzVlU0SWRLNs1YU=
alert,2021-09-24T17:03:21.708348Z,10.9.23.102,63719,23.21.173.155,443,,TCP,tls,3,ET INFO External IP Address Lookup Domain (ipify .org) in TLS SNI,Misc activity,allowed,2047703,1,1,"[""Informational""]",,"[""Client_and_Server""]","[""Perimeter""]","[""Any""]","[""2023_08_22""]","[""Low""]","[""2023_08_22""]",,"[""External_IP_Lookup""]","[""High""]","[""2023_08_22""]",,,,,1.59E+15,36818,0,,,,,,,,,1:7zJtw5uRUXUQubV1P1gqa9THldk=
alert,2021-09-24T17:03:21.901986Z,10.9.23.102,63721,23.21.173.155,443,,TCP,tls,3,ET INFO External IP Address Lookup Domain (ipify .org) in TLS SNI,Misc activity,allowed,2047703,1,1,"[""Informational""]",,"[""Client_and_Server""]","[""Perimeter""]","[""Any""]","[""2023_08_22""]","[""Low""]","[""2023_08_22""]",,"[""External_IP_Lookup""]","[""High""]","[""2023_08_22""]",,,,,3.62E+14,36850,0,,,,,,,,,1:HqD0i2ExDNscjwpIRS7FwBFOdk0=
alert,2021-09-24T17:03:21.902411Z,10.9.23.102,63722,23.21.173.155,443,,TCP,tls,3,ET INFO External IP Address Lookup Domain (ipify .org) in TLS SNI,Misc activity,allowed,2047703,1,1,"[""Informational""]",,"[""Client_and_Server""]","[""Perimeter""]","[""Any""]","[""2023_08_22""]","[""Low""]","[""2023_08_22""]",,"[""External_IP_Lookup""]","[""High""]","[""2023_08_22""]",,,,,5.66E+14,36855,0,,,,,,,,,1:tdtg+2BrUHodz4K0lnzVDI0tlJI=
alert,2021-09-24T17:03:21.910649Z,10.9.23.102,63720,23.21.173.155,443,,TCP,tls,3,ET INFO External IP Address Lookup Domain (ipify .org) in TLS SNI,Misc activity,allowed,2047703,1,1,"[""Informational""]",,"[""Client_and_Server""]","[""Perimeter""]","[""Any""]","[""2023_08_22""]","[""Low""]","[""2023_08_22""]",,"[""External_IP_Lookup""]","[""High""]","[""2023_08_22""]",,,,,1.94E+15,36892,0,,,,,,,,,1:+7uuNVliTaoaVMDRVLPxkOilI1I=
alert,2021-09-24T17:03:25.664567Z,177.149.159.181,25,10.9.23.102,63723,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.29E+15,37476,,,,,,,,,,1:j6G59fh7lalw/Ul5XjTiRtMZVIg=
alert,2021-09-24T17:03:29.007674Z,10.9.23.102,63724,136.232.34.70,443,,TCP,tls,3,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,allowed,2028765,1,2,"[""Major""]",,,,,"[""2019_10_14""]",,"[""2019_10_29""]",,"[""Description_Generated_By_Proofpoint_Nexus""]","[""Low""]",,,,,,1.12E+15,39821,0,,,,,,,,,1:n5NjVzhWcLi8Mf9Y4ZZjiLyMSlM=
alert,2021-09-24T17:03:29.618119Z,52.97.201.242,25,10.9.23.102,63725,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,3.11E+14,39854,,,,,,,,,,1:1Jq6I7iA1pwFE6ODkbtsfJhBSTw=
alert,2021-09-24T17:03:30.41748Z,52.97.201.242,25,10.9.23.102,63726,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.51E+15,39908,,,,,,,,,,1:ihmI3J5xdv3CfqlW4l70WIBMqyI=
alert,2021-09-24T17:03:44.945213Z,52.97.232.210,25,10.9.23.102,63729,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,9.94E+14,43166,,,,,,,,,,1:IrdBh6DATilZcdt8kOhI1R9NLag=
alert,2021-09-24T17:03:52.141663Z,46.16.61.50,25,10.9.23.102,63730,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.99E+15,44536,,,,,,,,,,1:xicmDuFyUzq51TbIWOTea/NsQgw=
alert,2021-09-24T17:03:53.304668Z,62.149.128.202,25,10.9.23.102,63731,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.91E+15,45068,,,,,,,,,,1:/Q2HgT241WxiPWiCgBSsFWZ0RO0=
alert,2021-09-24T17:03:55.585813Z,52.97.201.210,25,10.9.23.102,63732,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.91E+15,45948,,,,,,,,,,1:5li0/KSUW+gog8EmOz8/Q6bSR8Q=
alert,2021-09-24T17:03:56.809312Z,93.89.226.88,25,10.9.23.102,63733,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,4.06E+14,46112,,,,,,,,,,1:W/TCp6xAuKSJarVg5UJv6gMapTo=
